#time   lat    lon   gyro  spd_log
11/12/21/05:30:06.312    40.3630   -70.9400    93.4200       nan
11/12/21/05:31:06.312    40.3630   -70.9360    92.5800       nan
11/12/21/05:32:06.312    40.3630   -70.9330    93.6800       nan
11/12/21/05:33:06.312    40.3630   -70.9290    93.0400       nan
11/12/21/05:34:06.313    40.3630   -70.9260    94.0300       nan
11/12/21/05:35:06.313    40.3630   -70.9230    92.8900       nan
11/12/21/05:36:06.313    40.3630   -70.9190    92.8600       nan
11/12/21/05:37:06.313    40.3630   -70.9160    93.0000       nan
11/12/21/05:38:06.313    40.3630   -70.9120    92.6900       nan
11/12/21/05:39:06.313    40.3630   -70.9090    92.8300       nan
11/12/21/05:40:06.313    40.3630   -70.9060    93.0300       nan
11/12/21/05:41:06.313    40.3630   -70.9020    93.3100       nan
11/12/21/05:42:06.313    40.3630   -70.8990    93.5300       nan
11/12/21/05:43:06.313    40.3630   -70.8950    90.5600       nan
11/12/21/05:44:06.313    40.3640   -70.8920    90.1600       nan
11/12/21/05:45:06.313    40.3640   -70.8890    92.8100       nan
11/12/21/05:46:06.313    40.3640   -70.8860    87.4200       nan
11/12/21/05:47:06.313    40.3640   -70.8830    85.6500       nan
11/12/21/05:48:06.313    40.3640   -70.8800    91.9600       nan
11/12/21/05:49:06.313    40.3640   -70.8770   112.7400       nan
11/12/21/05:50:06.314    40.3630   -70.8740   136.9200       nan
11/12/21/05:51:06.314    40.3610   -70.8740   177.3700       nan
11/12/21/05:52:06.314    40.3590   -70.8740   186.8500       nan
11/12/21/05:53:06.314    40.3570   -70.8750   190.2000       nan
11/12/21/05:54:06.314    40.3550   -70.8760   191.1000       nan
11/12/21/05:55:06.314    40.3530   -70.8770   190.4800       nan
11/12/21/05:56:06.314    40.3510   -70.8780   190.4600       nan
11/12/21/05:57:06.314    40.3490   -70.8790   190.0000       nan
11/12/21/05:58:06.314    40.3480   -70.8800   190.0100       nan
11/12/21/05:59:06.314    40.3460   -70.8800   183.5900       nan
11/12/21/06:00:06.314    40.3450   -70.8810   176.2900       nan
11/12/21/06:01:06.314    40.3430   -70.8810   174.6800       nan
11/12/21/06:02:06.314    40.3410   -70.8810   175.6400       nan
11/12/21/06:03:06.314    40.3400   -70.8810   175.4600       nan
11/12/21/06:04:06.314    40.3380   -70.8820   175.1800       nan
11/12/21/06:05:06.315    40.3360   -70.8820   175.2400       nan
11/12/21/06:06:06.315    40.3350   -70.8820   175.7700       nan
11/12/21/06:07:06.315    40.3330   -70.8830   174.1200       nan
11/12/21/06:08:06.315    40.3310   -70.8830   173.1600       nan
11/12/21/06:09:06.315    40.3290   -70.8830   172.8400       nan
11/12/21/06:10:06.315    40.3270   -70.8830   171.2100       nan
11/12/21/06:11:06.315    40.3250   -70.8830   169.5600       nan
11/12/21/06:12:06.315    40.3230   -70.8830   170.8200       nan
11/12/21/06:13:06.315    40.3210   -70.8830   171.2900       nan
11/12/21/06:14:06.315    40.3190   -70.8830   170.8600       nan
11/12/21/06:15:06.315    40.3180   -70.8830   171.2600       nan
11/12/21/06:16:06.315    40.3160   -70.8830   170.9000       nan
11/12/21/06:17:06.315    40.3140   -70.8830   171.9600       nan
11/12/21/06:18:06.315    40.3120   -70.8830   171.7700       nan
11/12/21/06:19:06.315    40.3100   -70.8830   170.8000       nan
11/12/21/06:20:06.315    40.3080   -70.8830   172.9800       nan
11/12/21/06:21:06.316    40.3060   -70.8830   172.4300       nan
11/12/21/06:22:06.316    40.3040   -70.8830   172.3700       nan
11/12/21/06:23:06.316    40.3020   -70.8830   171.8900       nan
11/12/21/06:24:06.316    40.3010   -70.8830   174.0900       nan
11/12/21/06:25:06.316    40.2990   -70.8830   172.5200       nan
11/12/21/06:26:06.316    40.2970   -70.8830   173.0100       nan
11/12/21/06:27:06.316    40.2950   -70.8840   172.4800       nan
11/12/21/06:28:06.316    40.2930   -70.8840   173.0100       nan
11/12/21/06:29:06.316    40.2910   -70.8840   172.7600       nan
11/12/21/06:30:06.316    40.2890   -70.8840   172.6900       nan
11/12/21/06:31:06.316    40.2870   -70.8840   172.7900       nan
11/12/21/06:32:06.316    40.2850   -70.8840   174.8900       nan
11/12/21/06:33:06.316    40.2830   -70.8840   175.6400       nan
11/12/21/06:34:06.316    40.2810   -70.8840   177.2000       nan
11/12/21/06:35:06.316    40.2790   -70.8850   177.9900       nan
11/12/21/06:36:06.317    40.2770   -70.8850   177.5600       nan
11/12/21/06:37:06.317    40.2750   -70.8860   176.7800       nan
11/12/21/06:38:06.317    40.2730   -70.8860   177.4100       nan
11/12/21/06:39:06.317    40.2710   -70.8860   176.2900       nan
11/12/21/06:40:06.317    40.2690   -70.8870   175.4000       nan
11/12/21/06:41:06.317    40.2670   -70.8870   175.9600       nan
11/12/21/06:42:06.317    40.2660   -70.8870   175.9400       nan
11/12/21/06:43:06.317    40.2640   -70.8880   175.7400       nan
11/12/21/06:44:06.317    40.2620   -70.8880   174.2900       nan
11/12/21/06:45:06.317    40.2600   -70.8880   173.5100       nan
11/12/21/06:46:06.317    40.2580   -70.8890   172.1800       nan
11/12/21/06:47:06.317    40.2560   -70.8890   170.5400       nan
11/12/21/06:48:06.317    40.2540   -70.8890   171.4400       nan
11/12/21/06:49:06.317    40.2520   -70.8890   170.0100       nan
11/12/21/06:50:06.317    40.2510   -70.8890   170.5800       nan
